# Playlist Version: v20260905031111
# Generated At: 2026-09-05 03:11:11

央视频道,#genre
CCTV-2财经,http://219.156.94.32:4022/rtp/225.1.4.74:1103
CCTV-2财经,http://114.226.212.190:8787/rtp/239.49.8.50:9802
CCTV-2财经,http://114.254.36.113:18888/rtp/239.3.1.60:8084
CCTV-3综艺,rtsp://183.59.56.116:554/PLTV/88888905/224/3221229838/10000100000000060000000009924454_0.smil?0&accountinfo=%7E%7EV2.0%7EgvH63pQiXJKEZibMVS_W8g%7EzJeEdQQK6GK7r2Q5jZjxjKYhZiHklGs8wg1XyXUSKdk5d8f2s2AYjzO2-qcyDeaExan3Pra4cuU_Whoju6BKGf666OGX7-GKwJrfpZjwyfM~ExtInfoWNHSPSTb+3AG0FnUkYLPMw=-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2
CCTV-3综艺,rtsp://27.148.240.181/PLTV/88888888/224/3221227131/55974538.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7E4Yu-TN7kCyx2Hs9pted6ag%7EsDx4GJd5Sr5pYevmmuSb7lMNRcJZ8QqTk0LBOVj9HXJh8P2i1kD4jcBarRb5k9Ns0ihfdocarYCdnvZkFLewLSW1aXqQA1I4x5-WRR-bsJk%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20230115200419%2C10500000044552%2C27.156.164.235%2C20230115200419%2Curn%3AHuawei%3AliveTV%3AXTV55974537%2C1000100009996820230115200419%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2
CCTV-3综艺,http://14.157.24.117:2345/rtp/239.77.0.111:5146
CCTV-3综艺,http://14.145.143.181:14022/rtp/239.77.0.107:5146
CCTV-3综艺,http://14.112.67.22:3861/rtp/239.77.0.32:5146
CCTV-3综艺,http://14.157.24.117:2345/rtp/239.77.0.32:5146
CCTV-3综艺,http://113.95.135.67:8188/rtp/239.77.1.7:5146
CCTV-3综艺,http://113.95.135.67:8188/rtp/239.77.0.32:5146
CCTV-3综艺,http://113.95.135.67:8188/rtp/239.77.1.78:5146
CCTV-3综艺,http://14.157.24.117:2345/rtp/239.77.0.107:5146
CCTV-3综艺,http://113.95.135.67:8188/rtp/239.77.0.111:5146
CCTV-3综艺,http://14.145.143.181:14022/rtp/239.77.0.111:5146
CCTV-3综艺,http://125.94.173.224:8888/rtp/239.77.1.78:5146
CCTV-3综艺,http://14.112.67.22:3861/rtp/239.77.1.7:5146
CCTV-3综艺,http://14.157.24.117:2345/rtp/239.77.1.78:5146
CCTV-3综艺,http://112.66.103.188:8888/rtp/239.253.64.244:5140
CCTV-3综艺,http://113.95.135.67:8188/rtp/239.77.0.107:5146
CCTV-3综艺,http://113.95.135.67:8188/rtp/239.77.0.169:5146
CCTV-3综艺,http://103.236.97.114:44493/ysp/cctv3/index.m3u8
CCTV-3综艺,http://221.232.197.30:7777/tsfile/live/1042_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4中文国际,rtsp://183.59.56.116:554/PLTV/88888905/224/3221229981/10000100000000060000000010232874_0.smil?0&accountinfo=%7E%7EV2.0%7EWWB8_f1wHT6FqFOd9jVYYQ%7EzJeEdQQK6GK7r2Q5jZjxjKYhZiHklGs8wg1XyXUSKdk5d8f2s2AYjzO2-qcyDeaExan3Pra4cuU_Whoju6BKGf666OGX7-GKwJrfpZjwyfM~ExtInfoWNHSPSTb+3AG0FnUkYLPMw=-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2
CCTV-4中文国际,rtsp://27.148.240.138/PLTV/88888888/224/3221226967/10000100000000060000000001740931_0.smil?zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EWm51wB05EIc-Hn-RdY3oog%7ERH_bzdopoyPxlRU4atqrACUj7Kb_s8IKRSC5hfWjBp2C0uPjYkVP86x1wrwHEXJubPWheWUZdAXNCtpsgGp_qx6-jqXXjPXiFE6TsQt7xeo%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20191104122119%2C830459%2C27.158.100.159%2C20191104122119%2C10000100000000050000000001769281%2C83045920191104122118%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2OwQ6CMAyG32bHRXACHnbCmJiYeQC9mjrqJBQ2NzDx7YXJre33f-k_etB4OshhImIB38rKlGkgagejbLOgW1Xe05wnouCpEFywenGOBEZuYlRN_QP9usxehf7TapRNeHJH8J088eDaOF89rZhhvf5OdnlaiCzPiny_ZeNyrSF0M2EvCKXtHXhsztZEQT6BAjIHugODCnr8l4_exTdzkx8Wvi801QAAAA.
CCTV-4中文国际,rtsp://27.148.240.181/PLTV/88888888/224/3221226967/10000100000000060000000001740931_0.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EWm51wB05EIc-Hn-RdY3oog%7EsDx4GJd5Sr5pYevmmuSb7lMNRcJZ8QqTk0LBOVj9HXJh8P2i1kD4jcBarRb5k9Ns0ihfdocarYCdnvZkFLewLSW1aXqQA1I4x5-WRR-bsJk%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20230115200419%2C10500000044552%2C27.156.164.235%2C20230115200419%2C10000100000000050000000001769281%2C1000100009996820230115200419%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2
